pattern,lib,users,faultPercentage,libnum,maxRetries,backoffInterval,backoffMult,totalExecutionTime,successTimePerRequest,rel_totalExecutionTime,rel_successTimePerRequest,local_dist_to_min,global_dist_to_min
retry,polly,50,25,1,1,10,1.1,604.0,56.650000000000006,0.37424547283702214,1.0,0.7550032032842662,0.7719411615923754
retry,polly,50,25,1,1,10,1.3,588.5,54.9,0.3118712273641851,0.9638429752066114,0.7163298623234883,0.7519224761657787
retry,polly,50,25,1,1,10,1.5,584.5,53.5,0.29577464788732394,0.9349173553719007,0.6933805245709094,0.7230548769073568
retry,polly,50,25,1,1,10,1.7,585.5,52.4,0.29979879275653926,0.912190082644628,0.6789587848365656,0.6997858062502217
retry,polly,50,25,1,1,10,1.9,577.0,51.1,0.2655935613682093,0.8853305785123966,0.6535863267730375,0.6893150407673007
retry,polly,50,25,1,1,30,1.1,582.0,47.5,0.2857142857142857,0.8109504132231404,0.6079774772834956,0.5927409637577413
retry,polly,50,25,1,1,30,1.3,577.0,45.5,0.2655935613682093,0.7696280991735537,0.5757027665721897,0.6018596264619106
retry,polly,50,25,1,1,30,1.5,575.0,44.05,0.2575452716297787,0.7396694214876032,0.5538232660437181,0.5778833484541677
retry,polly,50,25,1,1,30,1.7,583.0,42.8,0.289738430583501,0.7138429752066114,0.5447568959677412,0.5466350640178851
retry,polly,50,25,1,1,30,1.9,582.0,41.1,0.2857142857142857,0.6787190082644627,0.5207168833640408,0.5213970860075673
retry,polly,50,25,1,1,50,1.1,574.0,41.0,0.2535211267605634,0.6766528925619834,0.5109462294246062,0.5176853188987874
retry,polly,50,25,1,1,50,1.3,579.5,40.5,0.27565392354124746,0.6663223140495868,0.5098874933571522,0.47906412389516156
retry,polly,50,25,1,1,50,1.5,571.5,38.0,0.24346076458752516,0.6146694214876033,0.4674888456452449,0.478872704510026
retry,polly,50,25,1,1,50,1.7,562.0,31.7,0.2052313883299799,0.48450413223140487,0.3720646294027139,0.4483979013459842
retry,polly,50,25,1,1,50,1.9,543.0,29.85,0.12877263581488935,0.44628099173553715,0.32844262460829343,0.39122058464270903
retry,polly,50,25,1,1,70,1.1,561.0,36.5,0.2012072434607646,0.5836776859504131,0.4365569813309074,0.44063107305923216
retry,polly,50,25,1,1,70,1.3,540.0,29.35,0.11670020120724346,0.4359504132231405,0.3191172979887161,0.38155549616435386
retry,polly,50,25,1,1,70,1.5,549.5,27.5,0.15492957746478872,0.3977272727272727,0.30181961288532283,0.357659118648747
retry,polly,50,25,1,1,70,1.7,553.5,23.4,0.1710261569416499,0.31301652892561976,0.25221944189422946,0.3503713233855761
retry,polly,50,25,1,1,70,1.9,555.0,20.7,0.17706237424547283,0.25723140495867763,0.22081562452695586,0.29290915769489045
retry,polly,50,25,1,1,90,1.1,550.5,27.45,0.158953722334004,0.396694214876033,0.30218585833882755,0.3690328226275423
retry,polly,50,25,1,1,90,1.3,525.5,23.7,0.05835010060362173,0.3192148760330578,0.2294590064927211,0.3336868142858092
retry,polly,50,25,1,1,90,1.5,533.5,17.25,0.09054325955734406,0.1859504132231405,0.14624574870594573,0.29416559686469307
retry,polly,50,25,1,1,90,1.7,533.5,14.9,0.09054325955734406,0.13739669421487602,0.11635276840807167,0.2866779816235944
retry,polly,50,25,1,1,90,1.9,529.5,14.0,0.0744466800804829,0.11880165289256198,0.09913662518214585,0.23290653337104203
retry,polly,50,25,1,3,10,1.1,597.0,55.0,0.3460764587525151,0.9659090909090908,0.7255168113846527,0.7185852405089227
retry,polly,50,25,1,3,10,1.3,593.0,54.3,0.3299798792756539,0.9514462809917353,0.712087335352827,0.6833150245867098
retry,polly,50,25,1,3,10,1.5,576.0,51.349999999999994,0.26156941649899396,0.8904958677685948,0.6562779328000321,0.6218733107942381
retry,polly,50,25,1,3,10,1.7,582.5,50.75,0.28772635814889336,0.8780991735537189,0.6533929199835844,0.5844315677174993
retry,polly,50,25,1,3,10,1.9,575.5,48.25,0.2595573440643863,0.8264462809917354,0.6125289667529318,0.5453260422247157
retry,polly,50,25,1,3,30,1.1,576.0,45.45,0.26156941649899396,0.768595041322314,0.5740892340015068,0.5511282904414543
retry,polly,50,25,1,3,30,1.3,567.0,42.45,0.22535211267605634,0.7066115702479339,0.5244442229140354,0.4906610196517794
retry,polly,50,25,1,3,30,1.5,553.0,37.650000000000006,0.16901408450704225,0.6074380165289257,0.44584005242146485,0.42481122527122156
retry,polly,50,25,1,3,30,1.7,570.0,37.55,0.23742454728370221,0.6053719008264461,0.4598073259328821,0.3679927682943471
retry,polly,50,25,1,3,30,1.9,531.5,31.5,0.08249496981891348,0.4803719008264462,0.34464661839994637,0.3413379101510274
retry,polly,50,25,1,3,50,1.1,550.0,36.150000000000006,0.15694164989939638,0.5764462809917356,0.4224458523540902,0.4405533365986694
retry,polly,50,25,1,3,50,1.3,549.5,32.4,0.15492957746478872,0.49896694214876025,0.36943956429347286,0.37554022129030873
retry,polly,50,25,1,3,50,1.5,545.0,30.2,0.13682092555331993,0.4535123966942148,0.33495780303241024,0.33731647358365935
retry,polly,50,25,1,3,50,1.7,527.0,23.05,0.06438631790744467,0.30578512396694213,0.22096395630640384,0.2676138925374712
retry,polly,50,25,1,3,50,1.9,511.0,20.95,0.0,0.262396694214876,0.18554248184027172,0.23190071450105343
retry,polly,50,25,1,3,70,1.1,554.5,32.1,0.1750503018108652,0.4927685950413223,0.3697725628160327,0.37268848895738776
retry,polly,50,25,1,3,70,1.3,527.5,22.5,0.06639839034205232,0.2944214876033058,0.21341597714622854,0.2939846293849526
retry,polly,50,25,1,3,70,1.5,553.0,18.85,0.16901408450704225,0.2190082644628099,0.19561490314488525,0.2357633426784138
retry,polly,50,25,1,3,70,1.7,566.5,16.0,0.22334004024144868,0.16012396694214875,0.19431991452800493,0.2003091409806228
retry,polly,50,25,1,3,70,1.9,581.5,16.05,0.2837022132796781,0.16115702479338842,0.23071468577015722,0.22674854301815306
retry,polly,50,25,1,3,90,1.1,544.5,25.4,0.13480885311871227,0.3543388429752065,0.26807596173490694,0.32276471028040943
retry,polly,50,25,1,3,90,1.3,540.0,17.3,0.11670020120724346,0.18698347107438015,0.15585531017073923,0.24827750174186536
retry,polly,50,25,1,3,90,1.5,598.0,10.7,0.3501006036217304,0.05061983471074378,0.2501327650693157,0.2018306911024095
retry,polly,50,25,1,3,90,1.7,598.5,9.149999999999999,0.352112676056338,0.01859504132231402,0.24932820959664212,0.22660198846513144
retry,polly,50,25,1,3,90,1.9,759.5,9.8,1.0,0.03202479338842976,0.7074692881643597,0.3516454498819647
retry,polly,50,25,1,5,10,1.1,578.5,53.05,0.2716297786720322,0.9256198347107436,0.6821124595956892,0.6957236698999153
retry,polly,50,25,1,5,10,1.3,597.0,54.45,0.3460764587525151,0.9545454545454545,0.7179574987755437,0.6623086525502246
retry,polly,50,25,1,5,10,1.5,594.0,52.3,0.33400402414486924,0.9101239669421486,0.6855232758074227,0.5878184156831084
retry,polly,50,25,1,5,10,1.7,585.0,50.8,0.2977867203219316,0.8791322314049586,0.6563346749544602,0.543786646606426
retry,polly,50,25,1,5,10,1.9,572.0,48.2,0.2454728370221328,0.8254132231404958,0.6089186738189577,0.5006857278366269
retry,polly,50,25,1,5,30,1.1,591.0,47.4,0.32193158953722334,0.808884297520661,0.6156028570098812,0.5167833491958825
retry,polly,50,25,1,5,30,1.3,572.0,43.7,0.2454728370221328,0.7324380165289256,0.5462244784758923,0.4639790866461401
retry,polly,50,25,1,5,30,1.5,557.0,37.0,0.1851106639839034,0.5940082644628099,0.43994986996854596,0.4298941374053223
retry,polly,50,25,1,5,30,1.7,556.0,36.5,0.18108651911468812,0.5836776859504131,0.4321295919521732,0.3892141992932303
retry,polly,50,25,1,5,30,1.9,517.5,31.1,0.026156941649899398,0.4721074380165289,0.3343423534545144,0.30830606385607623
retry,polly,50,25,1,5,50,1.1,557.0,37.0,0.1851106639839034,0.5940082644628099,0.43994986996854596,0.4261153150361101
retry,polly,50,25,1,5,50,1.3,545.0,32.6,0.13682092555331993,0.503099173553719,0.368665664321823,0.36854451515498793
retry,polly,50,25,1,5,50,1.5,523.5,25.25,0.05030181086519115,0.35123966942148754,0.2508979648698184,0.28647231260361766
retry,polly,50,25,1,5,50,1.7,518.0,24.9,0.028169014084507043,0.34400826446280985,0.24406472437983298,0.2570048397147863
retry,polly,50,25,1,5,50,1.9,511.5,18.2,0.002012072434607646,0.20557851239669417,0.1453729225040204,0.2262875773691256
retry,polly,50,25,1,5,70,1.1,536.0,26.55,0.1006036217303823,0.37809917355371897,0.27665870106258644,0.3279260817355231
retry,polly,50,25,1,5,70,1.3,532.5,26.55,0.08651911468812877,0.37809917355371897,0.27426678822673994,0.270830885237524
retry,polly,50,25,1,5,70,1.5,565.0,15.7,0.21730382293762576,0.1539256198347107,0.18830035568846767,0.2415275958602544
retry,polly,50,25,1,5,70,1.7,570.5,14.149999999999999,0.23943661971830985,0.12190082644628095,0.18998645524144192,0.23634416679448653
retry,polly,50,25,1,5,70,1.9,579.0,12.0,0.27364185110663986,0.0774793388429752,0.20110060992524736,0.3027756966670868
retry,polly,50,25,1,5,90,1.1,526.0,22.8,0.060362173038229376,0.30061983471074377,0.2168131418473198,0.2652894501794668
retry,polly,50,25,1,5,90,1.3,548.5,16.8,0.15090543259557343,0.17665289256198347,0.1642843480636132,0.2505785223337739
retry,polly,50,25,1,5,90,1.5,607.0,15.9,0.386317907444668,0.15805785123966942,0.2951472598135789,0.2279148779565313
retry,polly,50,25,1,5,90,1.7,579.5,9.649999999999999,0.27565392354124746,0.02892561983471071,0.19598696008472874,0.31231018834368784
retry,polly,50,25,1,5,90,1.9,708.5,10.0,0.7947686116700201,0.03615702479338843,0.5625675410729812,0.44165474844927216
retry,polly,50,25,1,7,10,1.1,575.0,53.2,0.2575452716297787,0.9287190082644627,0.6814868169123244,0.6798121625668018
retry,polly,50,25,1,7,10,1.3,593.0,54.1,0.3299798792756539,0.9473140495867768,0.7093273677475278,0.612173953010258
retry,polly,50,25,1,7,10,1.5,600.5,52.8,0.36016096579476864,0.9204545454545453,0.6989107566528626,0.5584821748543715
retry,polly,50,25,1,7,10,1.7,573.0,49.2,0.24949698189134809,0.8460743801652892,0.6237349600371017,0.5175219441571816
retry,polly,50,25,1,7,10,1.9,579.5,49.1,0.27565392354124746,0.8440082644628099,0.6278276180788833,0.49050642653602156
retry,polly,50,25,1,7,30,1.1,577.0,44.9,0.2655935613682093,0.7572314049586776,0.5674237131526763,0.5146035556058002
retry,polly,50,25,1,7,30,1.3,565.0,42.2,0.21730382293762576,0.7014462809917356,0.5192532313719597,0.45384273687969284
retry,polly,50,25,1,7,30,1.5,546.5,37.75,0.14285714285714285,0.6095041322314049,0.44266434827782547,0.42351039566138365
retry,polly,50,25,1,7,30,1.7,539.0,35.349999999999994,0.11267605633802817,0.5599173553719007,0.4038584767703618,0.3626738875296438
retry,polly,50,25,1,7,30,1.9,535.0,33.150000000000006,0.096579476861167,0.5144628099173554,0.37013482552904803,0.33643384837519635
retry,polly,50,25,1,7,50,1.1,564.5,36.6,0.2152917505030181,0.5857438016528925,0.4412744831788015,0.4247016557920256
retry,polly,50,25,1,7,50,1.3,553.5,32.05,0.1710261569416499,0.4917355371900825,0.36813977297614076,0.39396500087358305
retry,polly,50,25,1,7,50,1.5,538.5,25.55,0.11066398390342053,0.3574380165289256,0.26458311831398934,0.2940791275763665
retry,polly,50,25,1,7,50,1.7,531.5,23.3,0.08249496981891348,0.3109504132231405,0.22748140531597882,0.28844515345831545
retry,polly,50,25,1,7,50,1.9,577.0,22.9,0.2655935613682093,0.30268595041322305,0.28474438046940004,0.2851372656541189
retry,polly,50,25,1,7,70,1.1,547.0,30.8,0.1448692152917505,0.4659090909090909,0.3450060655488415,0.3501767848769661
retry,polly,50,25,1,7,70,1.3,547.0,24.8,0.1448692152917505,0.3419421487603306,0.2625942903397555,0.28342573262847076
retry,polly,50,25,1,7,70,1.5,527.0,17.95,0.06438631790744467,0.20041322314049584,0.14884733444580173,0.22775903124368754
retry,polly,50,25,1,7,70,1.7,576.5,16.4,0.2635814889336016,0.16838842975206605,0.22116720437580797,0.23715368761684488
retry,polly,50,25,1,7,70,1.9,592.0,11.5,0.32595573440643866,0.06714876033057851,0.2353254095995312,0.32251346769379874
retry,polly,50,25,1,7,90,1.1,537.5,22.5,0.10663983903420524,0.2944214876033058,0.22142274909297907,0.2940671541987251
retry,polly,50,25,1,7,90,1.3,523.0,15.7,0.0482897384305835,0.1539256198347107,0.11407233511941897,0.23699338653652116
retry,polly,50,25,1,7,90,1.5,575.0,13.1,0.2575452716297787,0.10020661157024792,0.19541101803793848,0.24211675701542698
retry,polly,50,25,1,7,90,1.7,645.5,8.25,0.5412474849094567,0.0,0.3827197668796404,0.34287738749741253
retry,polly,50,25,1,7,90,1.9,720.0,10.3,0.8410462776659959,0.04235537190082646,0.5954631889145982,0.4513050598361728
retry,polly,50,25,1,9,10,1.1,569.0,52.3,0.23340040241448692,0.9101239669421486,0.6643799301039118,0.6711607480282041
retry,polly,50,25,1,9,10,1.3,588.0,53.5,0.30985915492957744,0.9349173553719007,0.6964492649393998,0.6185705274225443
retry,polly,50,25,1,9,10,1.5,584.0,51.75,0.2937625754527163,0.8987603305785123,0.6686054825374264,0.5805456785247253
retry,polly,50,25,1,9,10,1.7,579.0,50.4,0.27364185110663986,0.8708677685950412,0.6454806476784469,0.5378209823138049
retry,polly,50,25,1,9,10,1.9,567.5,47.849999999999994,0.22736418511066397,0.818181818181818,0.6004648034124654,0.5107726897605435
retry,polly,50,25,1,9,30,1.1,582.0,46.25,0.2857142857142857,0.7851239669421487,0.590784350050084,0.5254674377740636
retry,polly,50,25,1,9,30,1.3,545.0,40.349999999999994,0.13682092555331993,0.6632231404958676,0.4788449121367316,0.4623882682736958
retry,polly,50,25,1,9,30,1.5,547.5,38.349999999999994,0.14688128772635814,0.6219008264462808,0.4518488412172373,0.42960656402968844
retry,polly,50,25,1,9,30,1.7,546.5,34.0,0.14285714285714285,0.5320247933884297,0.3895244177489438,0.3662276790683563
retry,polly,50,25,1,9,30,1.9,527.0,31.9,0.06438631790744467,0.48863636363636354,0.3485047300980627,0.3410417904685066
retry,polly,50,25,1,9,50,1.1,561.5,37.1,0.20321931589537223,0.5960743801652892,0.44531042938742,0.41299800583792806
retry,polly,50,25,1,9,50,1.3,530.0,30.95,0.07645875251509054,0.46900826446280985,0.33601688422650794,0.33455998302429196
retry,polly,50,25,1,9,50,1.5,555.0,29.5,0.17706237424547283,0.43904958677685946,0.33475037268267144,0.31086241217266397
retry,polly,50,25,1,9,50,1.7,528.5,23.3,0.07042253521126761,0.3109504132231405,0.2254434440710397,0.2662460967746582
retry,polly,50,25,1,9,50,1.9,520.0,19.6,0.03621730382293763,0.23450413223140495,0.16778540033299563,0.34005453817977666
retry,polly,50,25,1,9,70,1.1,542.5,28.95,0.1267605633802817,0.42768595041322305,0.3154231385055226,0.3476214502782129
retry,polly,50,25,1,9,70,1.3,521.0,24.2,0.04024144869215292,0.3295454545454545,0.2347547452176562,0.27226251598955825
retry,polly,50,25,1,9,70,1.5,525.0,18.799999999999997,0.056338028169014086,0.21797520661157016,0.1591966772821112,0.2352858938197584
retry,polly,50,25,1,9,70,1.7,572.5,15.2,0.24748490945674045,0.14359504132231402,0.2023219171285801,0.263596431142748
retry,polly,50,25,1,9,70,1.9,547.0,13.350000000000001,0.1448692152917505,0.1053719008264463,0.12666950505750385,0.4209953062836094
retry,polly,50,25,1,9,90,1.1,527.0,22.85,0.06438631790744467,0.30165289256198347,0.21810555417582794,0.28204443965971515
retry,polly,50,25,1,9,90,1.3,530.5,14.6,0.07847082494969819,0.131198347107438,0.1080987434062255,0.21777036870564
retry,polly,50,25,1,9,90,1.5,580.0,10.8,0.2776659959758551,0.05268595041322315,0.19984270651215694,0.2593680538016823
retry,polly,50,25,1,9,90,1.7,612.0,10.4,0.40643863179074446,0.04442148760330579,0.2891069265624943,0.34802846579882063
retry,polly,50,25,1,9,90,1.9,658.5,9.5,0.5935613682092555,0.025826446280991733,0.4201083807530792,0.5805703262263184
retry,resilience4j,50,25,0,1,10,1.1,602.0,56.55,0.9481865284974094,0.9802224969097653,0.9643375540421474,0.7927965099935221
retry,resilience4j,50,25,0,1,10,1.3,586.0,55.1,0.7823834196891192,0.9443757725587146,0.8671705181797607,0.7781154900209293
retry,resilience4j,50,25,0,1,10,1.5,586.5,54.9,0.7875647668393783,0.9394313967861558,0.8668303211224074,0.7716471118178196
retry,resilience4j,50,25,0,1,10,1.7,587.0,55.2,0.7927461139896373,0.946847960444994,0.8732031440176208,0.7747581818926689
retry,resilience4j,50,25,0,1,10,1.9,607.0,57.349999999999994,1.0,1.0,1.0,0.8063068772773679
