pattern,lib,users,faultPercentage,libnum,maxRetries,backoffInterval,backoffMult,totalExecutionTime,successTimePerRequest,rel_totalExecutionTime,rel_successTimePerRequest,local_dist_to_min,global_dist_to_min
retry,polly,50,50,1,1,10,1.1,589.0,50.2,0.023746701846965697,0.995749202975558,0.7043012072526454,0.7719411615923754
retry,polly,50,50,1,1,10,1.3,600.0,50.4,0.02789295137580098,1.0,0.7073817981601069,0.7519224761657787
retry,polly,50,50,1,1,10,1.5,607.0,49.05,0.030531473803241612,0.971307120085016,0.6871570753548439,0.7230548769073568
retry,polly,50,50,1,1,10,1.7,578.0,44.2,0.01960045231813042,0.8682252922422955,0.6140844143195195,0.6997858062502217
retry,polly,50,50,1,1,10,1.9,596.5,45.0,0.026573690162080662,0.8852284803400637,0.6262330330691638,0.6893150407673007
retry,polly,50,50,1,1,30,1.1,590.0,34.3,0.02412363362231436,0.6578108395324123,0.46545518060575963,0.5927409637577413
retry,polly,50,50,1,1,30,1.3,596.5,32.849999999999994,0.026573690162080662,0.6269925611052071,0.44374870855592186,0.6018596264619106
retry,polly,50,50,1,1,30,1.5,582.5,25.8,0.021296645307199397,0.4771519659936239,0.3377332865982572,0.5778833484541677
retry,polly,50,50,1,1,30,1.7,565.0,22.2,0.014700339238597813,0.4006376195536664,0.2834842166464988,0.5466350640178851
retry,polly,50,50,1,1,30,1.9,587.5,21.55,0.023181304183942708,0.3868225292242296,0.2740155488098243,0.5213970860075673
retry,polly,50,50,1,1,50,1.1,579.0,19.85,0.01997738409347908,0.35069075451647186,0.24837783836178973,0.5176853188987874
retry,polly,50,50,1,1,50,1.3,584.0,13.55,0.02186204297022239,0.21679064824654626,0.15407162959154683,0.47906412389516156
retry,polly,50,50,1,1,50,1.5,591.5,11.8,0.024689031285337355,0.17959617428267804,0.12818801442175168,0.478872704510026
retry,polly,50,50,1,1,50,1.7,681.0,7.5,0.058424425179042595,0.08820403825717324,0.07481098122058827,0.4483979013459842
retry,polly,50,50,1,1,50,1.9,655.5,7.4,0.048812664907651716,0.0860786397449522,0.06997216759443699,0.39122058464270903
retry,polly,50,50,1,1,70,1.1,609.5,8.6,0.031473803241613266,0.11158342189160468,0.08198005956185815,0.44063107305923216
retry,polly,50,50,1,1,70,1.3,671.5,8.4,0.0548435733132303,0.10733262486716262,0.08522942536072481,0.38155549616435386
